#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
1E|MONT1|55.91015|-120.58654|697.0|Z||
1E|MONT2|56.01972|-120.04697|642.0|Z||
1E|MONT3|56.00578|-120.45388|783.0|Z||
1E|MONT4|57.31841|-122.70567|1110.0|Z||
1E|MONT5|57.02691|-122.33603|1097.0|Z||
1E|MONT8|56.06731|-120.77743|695.0|Z||
1E|MONT9|55.8039|-120.53876|832.0|Z||
1E|MONTB|57.40256|-122.13022|959.0|Z||
1E|MONTC|57.13378|-122.76222|1181.0|Z||
1E|MONTD|56.78477|-122.17777|737.0|Z||
1E|MONTE|57.21385|-122.17446|1024.0|Z||
1E|MONTF|56.783265|-121.945263|965.0|Z||
1E|MONTG|56.561893|-121.301082|795.0|Z||
1E|MONTH|56.34528|-121.75152|662.0|Z||
1E|MONTI|55.946073|-120.356065|773.0|MONTI||
1G|CONZ|-77.5329|167.0823|3446.0|CONZ||
3A|NWLA|31.751298|-93.096892|36.0|Northwestern State University||
3A|WORL|32.319775|-93.621258|49.0|Worley Observatory||
4O|AT01|31.80227|-101.73096|815.0|Shelby SWD #2||
4O|BB01|31.50891|-102.62554|804.0|Waterlogged 7SD||
4O|BP01|31.8409|-103.8244|806.0|BPX||
4O|BW01|32.35311|-101.25893|729.0|Seven 1XD||
4O|CF01|32.80184|-100.58318|640.0|Clear Fork Lonesome Dove WD No.1||
4O|CT01|31.90285|-104.144532|994.0|"Z"||
4O|CT02|31.95689|-104.122493|952.0|"Z"||
4O|CV01|31.8504|-104.0889|983.0|Chevron WTX40||
4O|CW01|32.19525|-101.70247|764.0|Elk Creek SWD||
4O|DB02|31.1858|-103.1096|820.0|Diamondback UB0002||
4O|DB03|31.1162|-103.078|839.0|Diamondback UB0003||
4O|DB04|31.0664|-103.1054|868.0|Diamondback UB0004||
4O|DBL01|32.421461|-102.120404|879.0|4O-DBL01||
4O|DBL02|32.385171|-102.028043|866.0|4O-DBL02||
4O|EE01|32.245086|-102.038176|843.0|Endeavor||
4O|EE03|31.61121|-101.761496|999.0|Endeavor||
4O|EE04|32.321635|-101.998815|999.0|Endeavor||
4O|EE05|32.4876|-102.1392|860.0|4O-EE05||
4O|FOR01|32.086005|-102.214661|871.0|ESG||
4O|GV01|32.4065|-101.6023|807.0|Knott SWD||
4O|GV02|32.35144|-101.39524|779.0|Long 350 SWD||
4O|GV03|32.11|-101.6395|765.0|Lomax SWD||
4O|GV04|32.3192|-101.8344|817.0|3601 SWD||
4O|HP01|32.449802|-101.22567|736.0|High Peak||
4O|HP02|32.523756|-101.198306|698.0|High Peak||
4O|LWM1|31.2306|-103.6303|836.0|LWM1 Station||
4O|LWM2|31.2699|-103.5847|812.0|LWM2||
4O|LWM3|31.4101|-103.608|821.0|Beaver/Goose||
4O|MBBB1|32.246247|-101.89107|855.0|4O-MBBB1||
4O|MBBB2|32.053452|-102.073906|850.0|4O-MBBB2||
4O|MBBB3|31.843938|-101.709457|727.0|4O-MBBB3||
4O|MBBB4|31.830239|-101.89224|714.0|4O-MBBB4||
4O|MBBB5|32.282248|-102.082661|779.0|4O-MBBB5||
4O|MBBB6|31.917202|-101.92309|819.0|4O-MBBB6||
4O|MG01|32.402017|-101.952749|856.0|MAGUEY OPERATING||
4O|MID01|31.949|-102.2322|880.0|DiamondBack Midland 01||
4O|MID02|32.1297|-102.1669|883.0|DiamondBack Midland 02||
4O|MID03|32.012079|-102.210847|855.0|Diamondback 03||
4O|MO01|32.5118|-101.4394|794.0|Outlaw SWD||
4O|NGL01|32.2098|-102.9968|991.0|Bullhead 1-1||
4O|NGL02|32.2301|-103.0443|993.0|Salty Dog 5||
4O|OE01|32.48091|-101.75484|830.0|Ackerly SWD||
4O|OE02|32.2168|-101.8231|845.0|Gipper SWD||
4O|OP01|32.43232|-101.36427|760.0|Gravity/On Point, Hull SWD #1||
